Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
15kWh,dec,2244.25,37.57,0,0,2033.57,2033.57,214.35,0,214.35,2244.25,33.89
20kWh,jan,2111.07,150.99,8.28,8.28,1739.28,1739.28,384.89,8.28,393.17,2111.07,137.89
20kWh,feb,1986.63,291.05,245.02,245.02,1341.97,1341.97,668.88,245.02,913.9,1986.63,266.83
20kWh,mar,1849.14,535.53,501.59,501.59,846.67,846.67,1046.79,501.59,1548.38,1849.14,491.2
20kWh,apr,1507.85,536.79,1676.55,1676.55,471.75,471.75,1080.6,1676.55,2757.16,1507.85,492.29
20kWh,may,1462.03,513.88,2398.08,2398.08,375.99,375.99,1128.88,2398.08,3526.96,1462.03,471.04
20kWh,jun,1040.86,412.48,3301.3,3301.3,189.77,189.77,885.58,3301.3,4186.87,1040.86,377.99
20kWh,jul,944.26,452.06,2130.75,2130.75,145.78,145.78,836.4,2130.75,2967.15,944.26,414.13
20kWh,aug,1095.56,486,1847.98,1847.98,170.25,170.25,965.9,1847.98,2813.88,1095.56,445.41
20kWh,sep,1557.28,556.71,1534.49,1534.49,599.5,599.5,1003.82,1534.49,2538.31,1557.28,510.67
20kWh,oct,1641.51,398.74,172.46,172.46,937.69,937.69,737.17,172.46,909.63,1641.51,365.4
20kWh,nov,1940.88,263,24.97,24.97,1469.54,1469.54,493.55,24.97,518.52,1940.88,240.79
20kWh,dec,2244.25,37.57,0,0,2033.76,2033.76,214.35,0,214.35,2244.25,33.7
26kWh,jan,2111.07,156.63,2.64,2.64,1734.42,1734.42,390.53,2.64,393.17,2111.07,142.75
26kWh,feb,1986.63,348.52,187.55,187.55,1289.52,1289.52,726.35,187.55,913.9,1986.63,319.28
26kWh,mar,1849.14,630.72,406.4,406.4,759.78,759.78,1141.98,406.4,1548.38,1849.14,578.1
26kWh,apr,1507.85,667,1546.35,1546.35,352.48,352.48,1210.81,1546.35,2757.16,1507.85,611.56
26kWh,may,1462.03,597.88,2314.08,2314.08,299.18,299.18,1212.88,2314.08,3526.96,1462.03,547.85
26kWh,jun,1040.86,462.32,3251.46,3251.46,144.45,144.45,935.41,3251.46,4186.87,1040.86,423.32
26kWh,jul,944.26,481.75,2101.06,2101.06,118.61,118.61,866.09,2101.06,2967.15,944.26,441.31
26kWh,aug,1095.56,539.85,1794.14,1794.14,121.21,121.21,1019.74,1794.14,2813.88,1095.56,494.45
26kWh,sep,1557.28,644.24,1446.96,1446.96,519.69,519.69,1091.36,1446.96,2538.31,1557.28,590.47
26kWh,oct,1641.51,457.79,113.42,113.42,883.95,883.95,796.21,113.42,909.63,1641.51,419.14
26kWh,nov,1940.88,277.04,10.93,10.93,1456.96,1456.96,507.59,10.93,518.52,1940.88,253.37
26kWh,dec,2244.25,37.57,0,0,2034.05,2034.05,214.35,0,214.35,2244.25,33.41
50kWh,jan,2111.07,159.27,0,0,1733.29,1733.29,393.17,0,393.17,2111.07,143.88
50kWh,feb,1986.63,488.15,47.92,47.92,1162.75,1162.75,865.98,47.92,913.9,1986.63,446.05
50kWh,mar,1849.14,836.6,200.51,200.51,573.2,573.2,1347.87,200.51,1548.38,1849.14,764.68
50kWh,apr,1507.85,918.89,1294.46,1294.46,124.7,124.7,1462.7,1294.46,2757.16,1507.85,839.34
50kWh,may,1462.03,802.21,2109.74,2109.74,113.85,113.85,1417.22,2109.74,3526.96,1462.03,733.18
50kWh,jun,1040.86,562.34,3151.43,3151.43,54.69,54.69,1035.44,3151.43,4186.87,1040.86,513.07
50kWh,jul,944.26,554.52,2028.28,2028.28,54.64,54.64,938.87,2028.28,2967.15,944.26,505.28
50kWh,aug,1095.56,616.08,1717.91,1717.91,53.89,53.89,1095.97,1717.91,2813.88,1095.56,561.77
50kWh,sep,1557.28,808.26,1282.94,1282.94,371.63,371.63,1255.38,1282.94,2538.31,1557.28,738.53
50kWh,oct,1641.51,529.97,41.23,41.23,819.34,819.34,868.4,41.23,909.63,1641.51,483.75
50kWh,nov,1940.88,287.97,0,0,1448.29,1448.29,518.52,0,518.52,1940.88,262.04
50kWh,dec,2244.25,39.46,0,0,2035.57,2035.57,214.35,0,214.35,2244.25,33.79
